2024-02-21 11:46:59,415 INFO    StreamThr :201540 [internal.py:wandb_internal():86] W&B internal server running at pid: 201540, started at: 2024-02-21 11:46:59.414634
2024-02-21 11:46:59,418 DEBUG   HandlerThread:201540 [handler.py:handle_request():146] handle_request: status
2024-02-21 11:46:59,420 INFO    WriterThread:201540 [datastore.py:open_for_write():87] open: /home/arafanelli/PycharmProjects/emoDetection/emotion-detection/wandb/run-20240221_114659-ffz5qdpa/run-ffz5qdpa.wandb
2024-02-21 11:46:59,422 DEBUG   SenderThread:201540 [sender.py:send():382] send: header
2024-02-21 11:46:59,427 DEBUG   SenderThread:201540 [sender.py:send():382] send: run
2024-02-21 11:46:59,912 INFO    SenderThread:201540 [dir_watcher.py:__init__():211] watching files in: /home/arafanelli/PycharmProjects/emoDetection/emotion-detection/wandb/run-20240221_114659-ffz5qdpa/files
2024-02-21 11:46:59,912 INFO    SenderThread:201540 [sender.py:_start_run_threads():1136] run started: ffz5qdpa with start time 1708512419.414707
2024-02-21 11:46:59,942 DEBUG   HandlerThread:201540 [handler.py:handle_request():146] handle_request: check_version
2024-02-21 11:46:59,943 DEBUG   SenderThread:201540 [sender.py:send_request():409] send_request: check_version
2024-02-21 11:47:00,069 DEBUG   HandlerThread:201540 [handler.py:handle_request():146] handle_request: run_start
2024-02-21 11:47:00,076 DEBUG   HandlerThread:201540 [system_info.py:__init__():27] System info init
2024-02-21 11:47:00,076 DEBUG   HandlerThread:201540 [system_info.py:__init__():42] System info init done
2024-02-21 11:47:00,076 INFO    HandlerThread:201540 [system_monitor.py:start():194] Starting system monitor
2024-02-21 11:47:00,077 INFO    SystemMonitor:201540 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-21 11:47:00,077 INFO    HandlerThread:201540 [system_monitor.py:probe():214] Collecting system info
2024-02-21 11:47:00,078 INFO    SystemMonitor:201540 [interfaces.py:start():190] Started cpu monitoring
2024-02-21 11:47:00,080 INFO    SystemMonitor:201540 [interfaces.py:start():190] Started disk monitoring
2024-02-21 11:47:00,081 INFO    SystemMonitor:201540 [interfaces.py:start():190] Started gpu monitoring
2024-02-21 11:47:00,082 INFO    SystemMonitor:201540 [interfaces.py:start():190] Started memory monitoring
2024-02-21 11:47:00,083 INFO    SystemMonitor:201540 [interfaces.py:start():190] Started network monitoring
2024-02-21 11:47:00,109 DEBUG   HandlerThread:201540 [system_info.py:probe():151] Probing system
2024-02-21 11:47:00,113 DEBUG   HandlerThread:201540 [system_info.py:_probe_git():136] Probing git
2024-02-21 11:47:00,125 DEBUG   HandlerThread:201540 [system_info.py:_probe_git():144] Probing git done
2024-02-21 11:47:00,125 DEBUG   HandlerThread:201540 [system_info.py:probe():199] Probing system done
