2024-02-21 11:44:32,020 INFO    StreamThr :200748 [internal.py:wandb_internal():86] W&B internal server running at pid: 200748, started at: 2024-02-21 11:44:32.019356
2024-02-21 11:44:32,022 DEBUG   HandlerThread:200748 [handler.py:handle_request():146] handle_request: status
2024-02-21 11:44:32,026 INFO    WriterThread:200748 [datastore.py:open_for_write():87] open: /home/arafanelli/PycharmProjects/emoDetection/emotion-detection/wandb/run-20240221_114432-c4jht7wy/run-c4jht7wy.wandb
2024-02-21 11:44:32,027 DEBUG   SenderThread:200748 [sender.py:send():382] send: header
2024-02-21 11:44:32,031 DEBUG   SenderThread:200748 [sender.py:send():382] send: run
2024-02-21 11:44:32,532 INFO    SenderThread:200748 [dir_watcher.py:__init__():211] watching files in: /home/arafanelli/PycharmProjects/emoDetection/emotion-detection/wandb/run-20240221_114432-c4jht7wy/files
2024-02-21 11:44:32,532 INFO    SenderThread:200748 [sender.py:_start_run_threads():1136] run started: c4jht7wy with start time 1708512272.019222
2024-02-21 11:44:32,571 DEBUG   HandlerThread:200748 [handler.py:handle_request():146] handle_request: check_version
2024-02-21 11:44:32,572 DEBUG   SenderThread:200748 [sender.py:send_request():409] send_request: check_version
2024-02-21 11:44:32,760 DEBUG   HandlerThread:200748 [handler.py:handle_request():146] handle_request: run_start
2024-02-21 11:44:32,767 DEBUG   HandlerThread:200748 [system_info.py:__init__():27] System info init
2024-02-21 11:44:32,767 DEBUG   HandlerThread:200748 [system_info.py:__init__():42] System info init done
2024-02-21 11:44:32,767 INFO    HandlerThread:200748 [system_monitor.py:start():194] Starting system monitor
2024-02-21 11:44:32,768 INFO    SystemMonitor:200748 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-21 11:44:32,768 INFO    HandlerThread:200748 [system_monitor.py:probe():214] Collecting system info
2024-02-21 11:44:32,769 INFO    SystemMonitor:200748 [interfaces.py:start():190] Started cpu monitoring
2024-02-21 11:44:32,770 INFO    SystemMonitor:200748 [interfaces.py:start():190] Started disk monitoring
2024-02-21 11:44:32,773 INFO    SystemMonitor:200748 [interfaces.py:start():190] Started gpu monitoring
2024-02-21 11:44:32,774 INFO    SystemMonitor:200748 [interfaces.py:start():190] Started memory monitoring
2024-02-21 11:44:32,776 INFO    SystemMonitor:200748 [interfaces.py:start():190] Started network monitoring
2024-02-21 11:44:32,800 DEBUG   HandlerThread:200748 [system_info.py:probe():151] Probing system
2024-02-21 11:44:32,803 DEBUG   HandlerThread:200748 [system_info.py:_probe_git():136] Probing git
2024-02-21 11:44:32,814 DEBUG   HandlerThread:200748 [system_info.py:_probe_git():144] Probing git done
2024-02-21 11:44:32,814 DEBUG   HandlerThread:200748 [system_info.py:probe():199] Probing system done
